coord,FE,mol,ngas,C
258.635,35.43783727312247,Chloroform,10,0.000625
260.13,22.92358389388725,Chloroform,10,0.000625
261.625,13.459066964362131,Chloroform,10,0.000625
263.12,6.709282571574246,Chloroform,10,0.000625
264.615,2.439199957287244,Chloroform,10,0.000625
266.11,0.3546904436976312,Chloroform,10,0.000625
267.605,0.0,Chloroform,10,0.000625
269.1,0.9599872313413762,Chloroform,10,0.000625
270.595,2.7998837159045387,Chloroform,10,0.000625
272.09,4.832203601212104,Chloroform,10,0.000625
273.585,6.517133494305764,Chloroform,10,0.000625
275.08,7.69876322097393,Chloroform,10,0.000625
276.575,8.0040308487234,Chloroform,10,0.000625
278.07,7.482688537827869,Chloroform,10,0.000625
279.565,6.771949504811584,Chloroform,10,0.000625
281.06,6.021315033490527,Chloroform,10,0.000625
282.555,5.51499851042043,Chloroform,10,0.000625
284.05,5.704321621238545,Chloroform,10,0.000625
285.545,6.327206189501229,Chloroform,10,0.000625
287.04,7.115261437768471,Chloroform,10,0.000625
288.535,7.858542914923131,Chloroform,10,0.000625
290.03,8.23344520332989,Chloroform,10,0.000625
291.525,8.477563063874609,Chloroform,10,0.000625
293.02,8.707295175611723,Chloroform,10,0.000625
294.515,8.79265378989103,Chloroform,10,0.000625
296.01,8.70943178249139,Chloroform,10,0.000625
297.505,8.394717454199416,Chloroform,10,0.000625
299.0,7.855664649878346,Chloroform,10,0.000625
300.495,7.3566817197886145,Chloroform,10,0.000625
301.99,7.108687836640595,Chloroform,10,0.000625
303.485,7.660975172116036,Chloroform,10,0.000625
304.98,8.01240401999566,Chloroform,10,0.000625
306.475,5.947844585537727,Chloroform,10,0.000625
307.97,1.0217544802037857,Chloroform,10,0.000625
309.465,-6.050186658210723,Chloroform,10,0.000625
310.96,-13.352441854352598,Chloroform,10,0.000625
312.455,-17.81865913279779,Chloroform,10,0.000625
313.95,-18.574343729329915,Chloroform,10,0.000625
315.445,-16.40967626529428,Chloroform,10,0.000625
316.94,-11.079214136672864,Chloroform,10,0.000625
318.435,-2.4296990914088568,Chloroform,10,0.000625
319.93,9.596968858145658,Chloroform,10,0.000625
321.425,24.930901402002306,Chloroform,10,0.000625
322.92,43.57209854016105,Chloroform,10,0.000625
257.14,49.09525990619744,Chloroform,100,0.00625
258.635,33.75106802210608,Chloroform,100,0.00625
260.13,21.8972112470397,Chloroform,100,0.00625
261.625,12.987740143378756,Chloroform,100,0.00625
