mol,natoms,nwater,ngas,coord,vol,C,log_c,av_ngas,std_gas,av_nwater,std_water
Chloroform,0.0,1955.0,10,10500,313.95,0.000625,-3.2,,,,
Chloroform,0.0,2013.0,10,10550,315.445,0.000625,-3.2,,,,
Chloroform,0.0,2019.0,10,10600,316.94,0.000625,-3.2,,,,
Chloroform,0.0,2066.0,10,10650,318.435,0.000625,-3.2,,,,
Chloroform,0.0,2071.0,10,10700,319.93,0.000625,-3.2,,,,
Chloroform,0.0,2087.0,10,10750,321.425,0.000625,-3.2,,,,
Chloroform,0.0,2103.0,10,10800,322.92,0.000625,-3.2,,,,
Chloroform,16.0,1960.0,100,10500,313.95,0.00625,-2.2,,,,
Chloroform,15.0,1992.0,100,10550,315.445,0.00625,-2.2,,,,
Chloroform,13.0,2013.0,100,10600,316.94,0.00625,-2.2,,,,
Chloroform,17.0,1989.0,100,10650,318.435,0.00625,-2.2,,,,
Chloroform,12.0,2051.0,100,10700,319.93,0.00625,-2.2,,,,
Chloroform,19.0,2102.0,100,10750,321.425,0.00625,-2.2,,,,
Chloroform,12.0,2131.0,100,10800,322.92,0.00625,-2.2,,,,
Chloroform,11.0,2137.0,100,10850,324.415,0.00625,-2.2,,,,
Chloroform,17.0,2155.0,100,10900,325.90999999999997,0.00625,-2.2,,,,
Chloroform,15.0,2182.0,100,10950,327.405,0.00625,-2.2,,,,
Chloroform,11.0,2195.0,100,11000,328.9,0.00625,-2.2,,,,
Chloroform,125.0,1904.0,1000,10500,313.95,0.0625,-1.2,,,,
Chloroform,118.0,1954.0,1000,10550,315.445,0.0625,-1.2,,,,
Chloroform,114.0,1985.0,1000,10600,316.94,0.0625,-1.2,,,,
Chloroform,113.0,1994.0,1000,10650,318.435,0.0625,-1.2,,,,
Chloroform,127.0,1978.0,1000,10700,319.93,0.0625,-1.2,,,,
Chloroform,103.0,2053.0,1000,10750,321.425,0.0625,-1.2,,,,
Chloroform,114.0,2086.0,1000,10800,322.92,0.0625,-1.2,,,,
N2,0.0,2002.0,10,10500,313.95,0.000625,-3.2,,,,
N2,0.0,1998.0,10,10550,315.445,0.000625,-3.2,,,,
N2,0.0,2012.0,10,10600,316.94,0.000625,-3.2,,,,
N2,0.0,2048.0,10,10650,318.435,0.000625,-3.2,,,,
N2,1.0,2081.0,10,10700,319.93,0.000625,-3.2,,,,
N2,0.0,2075.0,10,10750,321.425,0.000625,-3.2,,,,
N2,1.0,2133.0,10,10800,322.92,0.000625,-3.2,,,,
N2,0.0,2145.0,10,10850,324.415,0.000625,-3.2,,,,
N2,0.0,2179.0,10,10900,325.90999999999997,0.000625,-3.2,,,,
N2,0.0,2182.0,10,10950,327.405,0.000625,-3.2,,,,
N2,0.0,2194.0,10,11000,328.9,0.000625,-3.2,,,,
N2,6.0,1939.0,100,10500,313.95,0.00625,-2.2,,,,
N2,6.0,2000.0,100,10550,315.445,0.00625,-2.2,,,,
N2,9.0,2016.0,100,10600,316.94,0.00625,-2.2,,,,
N2,8.0,2053.0,100,10650,318.435,0.00625,-2.2,,,,
N2,8.0,2041.0,100,10700,319.93,0.00625,-2.2,,,,
N2,3.0,2088.0,100,10750,321.425,0.00625,-2.2,,,,
N2,7.0,2116.0,100,10800,322.92,0.00625,-2.2,,,,
N2,9.0,1959.0,200,10500,313.95,0.0125,-1.9,,,,
N2,10.0,1998.0,200,10550,315.445,0.0125,-1.9,,,,
N2,14.0,2042.0,200,10600,316.94,0.0125,-1.9,,,,
N2,11.0,2048.0,200,10650,318.435,0.0125,-1.9,,,,
N2,15.0,2040.0,200,10700,319.93,0.0125,-1.9,,,,
N2,15.0,2073.0,200,10750,321.425,0.0125,-1.9,,,,
N2,8.0,2128.0,200,10800,322.92,0.0125,-1.9,,,,
N2,19.0,2108.0,200,10850,324.415,0.0125,-1.9,,,,
N2,12.0,2163.0,200,10900,325.90999999999997,0.0125,-1.9,,,,
N2,14.0,2206.0,200,10950,327.405,0.0125,-1.9,,,,
N2,12.0,2203.0,200,11000,328.9,0.0125,-1.9,,,,
N2,32.0,1952.0,500,10500,313.95,0.03125,-1.5,,,,
N2,35.0,1967.0,500,10550,315.445,0.03125,-1.5,,,,
N2,33.0,1997.0,500,10600,316.94,0.03125,-1.5,,,,
N2,32.0,1991.0,500,10650,318.435,0.03125,-1.5,,,,
N2,34.0,2060.0,500,10700,319.93,0.03125,-1.5,,,,
N2,32.0,2055.0,500,10750,321.425,0.03125,-1.5,,,,
N2,31.0,2122.0,500,10800,322.92,0.03125,-1.5,,,,
N2,29.0,2119.0,500,10850,324.415,0.03125,-1.5,,,,
N2,31.0,2139.0,500,10900,325.90999999999997,0.03125,-1.5,,,,
N2,32.0,2164.0,500,10950,327.405,0.03125,-1.5,,,,
N2,37.0,2177.0,500,11000,328.9,0.03125,-1.5,,,,
N2,70.0,1905.0,1000,10500,313.95,0.0625,-1.2,,,,
N2,77.0,1917.0,1000,10550,315.445,0.0625,-1.2,,,,
N2,73.0,1960.0,1000,10600,316.94,0.0625,-1.2,,,,
N2,68.0,1986.0,1000,10650,318.435,0.0625,-1.2,,,,
