mol,ngas,Pint,Pext_inflection,Pext_barrier,C,Delta_FE
Chloroform,0,4.89787497970046,-18.294355407251413,12.090152066115056,0.0,26.195329476582536
Chloroform,10,5.966773897993894,-15.165938408934299,11.44451354766004,0.000625,24.79644601993001
Chloroform,100,6.911627307114778,-19.862854077574816,12.066444901574828,0.00625,30.50129127898074
Chloroform,1000,3.889606774129045,-14.004293765780682,8.89136330211613,0.0625,19.26462048791822
Chloroform,3000,3.8621098262652493,-13.412844421655182,7.709493603441248,0.1875,19.487886608698773
Chloroform,5000,-0.2137123035899027,-10.660197608335308,5.117355757681237,0.3125,20.327274259678237
N2,10,3.7068789697078195,-23.299712879359,14.756094658725017,0.000625,37.30012816511037
N2,100,4.279604350673008,-22.08440152747464,15.421345622698647,0.00625,33.41291551584696
N2,1000,3.8404904400264717,-11.696814016303106,9.693789784596877,0.0625,17.502675999966506
TN6,0,4.89787497970046,-18.294355407251413,12.090152066115056,0.0,26.195329476582536
TN6,10,4.640428721374949,-14.26571435694873,10.702730433635775,0.000625,23.189249272877436
TN6,100,4.109721603168798,-16.1208110667447,10.836356737965055,0.00625,23.47877293225754
TN6,1000,5.908670448804456,-20.66186253355706,13.869882478261022,0.0625,30.05141203623212
TN6,5000,3.3089543203761225,-13.258778745961742,11.491209607769738,0.3125,20.74801734736209
Diethyl ether,0,4.89787497970046,-18.294355407251413,12.090152066115056,0.0,26.195329476582536
Diethyl ether,10,4.070123501523329,-21.995828560422478,15.256263783012706,0.000625,33.05523819652743
Diethyl ether,100,5.156896522068823,-17.321020578583237,10.992620745005423,0.00625,23.81734494751167
Diethyl ether,1000,3.8041935496627715,-11.264810448125834,8.727131799930696,0.0625,15.757321305430354
Diethyl ether,3000,0.9818313916505109,-8.158617144565426,6.142249820078294,0.1875,11.09017328625251
Diethyl ether,5000,1.5840292628807746,-9.005233018687722,7.330600380066269,0.3125,13.235806241786358
Oxygen,10,5.076783879115474,-16.857994524595902,10.78075134222115,0.000625,23.35829457481242
Oxygen,100,4.702058792695332,-16.778953403632855,10.703275609873781,0.00625,23.190430488059782
Oxygen,1000,2.3364024531200527,-8.816459442808128,5.951829602420208,0.0625,12.895630805243743
Oxygen,5000,-81.80494888821947,45.380499342853945,,0.3125,
Ethylene,0,4.89787497970046,-18.294355407251413,12.090152066115056,0.0,26.195329476582536
Ethylene,10,4.572022296567195,-19.9215870126534,13.696242894053038,0.000625,29.67519293711482
Ethylene,100,6.347452016474909,-18.244036704524024,12.434174149903953,0.00625,26.94071065812514
Ethylene,1000,5.584378855318411,-9.123327717703368,7.4989478831697225,0.0625,13.539767011278606
Ethylene,5000,-0.162714213615609,-12.276220035497232,6.276478812126433,0.3125,20.39855613941097
No gas,0,4.89787497970046,-18.294355407251413,12.090152066115056,0.0,26.195329476582536
Fullerene,0,4.89787497970046,-18.294355407251413,12.090152066115056,0.0,26.195329476582536
Fullerene,10,6.158075531889007,-14.645677697044578,11.275647428763556,0.000625,24.430569428987624
SN2,10,1.494411311253199,-16.59895208004271,10.539534332100667,0.000625,22.83565771955137
SN2,100,2.5089881271771874,-12.074676231862485,10.384461299626478,0.00625,18.74972179099217
SN2,1000,2.6157552075260524,-12.69625413263951,10.674793246733078,0.0625,19.27393225104575
SN2,5000,1.9119884309711062,-16.468429400692965,10.53236691129651,0.3125,22.82012830780903
SX1,10,3.1853327056572356,-20.85439201653756,14.396532330707679,0.000625,31.192486716533203
SX1,100,4.4193782924535645,-16.452784676861018,10.1778838060061,0.00625,22.052081579679815
SX1,1000,2.086117174931208,-10.370282820639765,8.641398198572382,0.0625,15.602524525200064
SX1,5000,2.697483700940116,2.3715422172755316,,0.3125,
SC4,10,2.5216934511907136,-20.792874074312188,14.083547969945903,0.000625,30.514353934882692
SC4,100,1.753581689592977,-17.06261182083312,10.648436701972017,0.00625,26.916881663318094
SC4,1000,2.7465699326694613,-19.365150788406773,13.218652342863205,0.0625,28.640413409536855
SC4,5000,-102.38381545066684,7.152711286427463,,0.3125,
TC1,10,4.06368104655725,-14.872741492906252,12.046325878345977,0.000625,21.75031061368014
TC1,100,2.4763877386727167,-22.59338665709776,15.678412485187444,0.00625,33.96989371790602
TC1,1000,0.7437074933903616,-0.8625362616849734,3.24657765001657,0.0625,2.3447505250119747
TC1,5000,-71.09159154458281,-74.72655497739375,,0.3125,
