mol,av_ngas,std_gas,ngas,coord,av_nwater,std_water
Fullerene,0.0,0.0,2,8200,56.5,4.8218253804964775
Fullerene,0.0,0.0,2,8250,61.3,7.22564875980005
Fullerene,0.0,0.0,2,8300,72.1,8.93812060782355
Fullerene,0.0,0.0,2,8350,67.4,5.4626001134990645
Fullerene,0.0,0.0,2,8400,72.3,6.885491994040804
Fullerene,0.0,0.0,2,8450,90.5,10.818964830333815
Fullerene,0.0,0.0,2,8500,93.2,9.130169768410662
Fullerene,0.0,0.0,2,8550,117.4,9.232551110067032
Fullerene,0.0,0.0,2,8600,136.7,10.621205204683694
Fullerene,0.0,0.0,2,8650,159.2,12.448293055676348
Fullerene,0.0,0.0,2,8700,183.1,12.817566071606576
Fullerene,0.0,0.0,2,8750,215.8,12.536347155371857
Fullerene,0.0,0.0,2,8800,262.2,19.81817347789649
Fullerene,0.0,0.0,2,8850,286.8,8.829496021857645
Fullerene,0.0,0.0,2,8900,326.7,16.10620998248812
Fullerene,0.0,0.0,2,8950,376.7,24.421506915012433
Fullerene,0.0,0.0,2,9000,412.0,23.443549219348167
Fullerene,0.0,0.0,2,9050,499.4,21.434551546510132
Fullerene,0.0,0.0,2,9100,544.5,14.664583185348297
Fullerene,0.0,0.0,2,9150,619.2,17.016462617124628
Fullerene,0.0,0.0,2,9200,655.2,18.52997571504075
Fullerene,0.0,0.0,2,9250,701.8,19.035755829490984
Fullerene,0.0,0.0,2,9300,741.7,17.939063520708096
Fullerene,0.0,0.0,2,9350,820.8,20.822103640122435
Fullerene,0.0,0.0,2,9400,868.2,23.012170692918126
Fullerene,0.0,0.0,2,9450,881.2,19.661129163911212
Fullerene,0.0,0.0,2,9500,990.3,18.968658360569417
Fullerene,0.0,0.0,2,9550,1020.2,31.361760154685193
Fullerene,0.0,0.0,2,9600,1035.1,27.046071803498563
Fullerene,0.0,0.0,2,9650,1108.5,24.82438317461282
Fullerene,0.0,0.0,2,9700,1168.4,19.043108989868223
Fullerene,0.0,0.0,2,9750,1234.2,19.338045402780498
Fullerene,0.0,0.0,2,9800,1272.3,25.341862599264484
Fullerene,0.0,0.0,2,9850,1317.6,21.19528249398908
Fullerene,0.0,0.0,2,9900,1383.3,14.52618325645109
Fullerene,0.0,0.0,2,9950,1461.3,10.198529305738155
Fullerene,0.0,0.0,2,10000,1492.5,17.240939649566666
Fullerene,0.0,0.0,2,10050,1539.9,15.306534552275377
Fullerene,0.0,0.0,2,10100,1573.8,15.86694677623896
Fullerene,0.0,0.0,2,10150,1617.4,22.118770309400112
Fullerene,0.0,0.0,2,10200,1674.8,13.533661736573734
Fullerene,0.0,0.0,2,10250,1855.4,10.9288608738514
Fullerene,0.0,0.0,2,10300,1859.4,15.844241856270687
Fullerene,0.0,0.0,2,10350,1898.0,8.306623862918075
Fullerene,0.0,0.0,2,10400,1909.0,17.966635745180564
Fullerene,0.0,0.0,2,10450,1945.7,15.330035877322661
Fullerene,0.0,0.0,2,10500,1976.0,12.759310326189265
Fullerene,0.0,0.0,2,10550,1994.8,18.79255171603899
Fullerene,0.0,0.0,2,10600,2031.3,6.372597586541928
Fullerene,0.0,0.0,2,10650,2057.7,14.812494725737459
Fullerene,0.0,0.0,2,10700,2075.2,11.097747519204066
Fullerene,0.0,0.0,2,10750,2114.0,15.491933384829668
Fullerene,0.0,0.0,2,10800,2119.8,10.759182125050211
